cn_0,一刀两断的,卫维恩
cn_1,一心一意的,卫斯理
cn_2,一气呵成的,大卫
cn_3,一丝不苟的,山姆
cn_4,一团和气的,山迪
cn_5,一言为定的,门罗
cn_6,一身正气的,马丁
cn_7,一往无前的,马文
cn_8,一表人才的,马卡斯
cn_9,一视同仁的,马休
cn_10,一诺千金的,马伦
cn_11,一清二白的,马西
cn_12,一腔热情的,马丽娜
cn_13,一谦四益的,马克
cn_14,一蹶不振的,马克斯
cn_15,七手八脚的,马库斯
cn_16,七彩的,马里恩
cn_17,七嘴八舌的,马里奥
cn_18,人山人海的,马杰里
cn_19,人多势众的,马科斯
cn_20,人定胜天的,马修
cn_21,人面兽心的,马特
cn_22,人面善心的,马勒第兹
cn_23,八面威风的,马歇尔
cn_24,刀快水滚的,马德琳
cn_25,刁钻古怪的,丹尼
cn_26,力挽狂澜的,丹尼丝
cn_27,十年寒窗的,丹尼尔
cn_28,十指连心的,丹尼斯
cn_29,万人空巷的,内丽
cn_30,万众一心的,切尔西
cn_31,万劫不辞的,切莉
cn_32,万念俱灰的,尤兰达
cn_33,三弯九转的,尤尔
cn_34,三思而行的,尤朵拉
cn_35,义无反顾的,尤利塞斯
cn_36,于心不忍的,尤杜拉
cn_37,亡羊补牢的,尤里西斯
cn_38,千娇百媚的,尤妮丝
cn_39,口出不逊的,尤金
cn_40,口是心非的,尤莱亚
cn_41,口若悬河的,尤菲米娅
cn_42,土黄的,巴尔克
cn_43,大刀阔斧的,巴伦
cn_44,大义灭亲的,巴克
cn_45,大义凛然的,巴里
cn_46,大大的,巴里特
cn_47,大公无私的,巴奈特
cn_48,大方的,巴泽尔
cn_49,大发慈悲的,巴罗
cn_50,大巧若拙的,巴特
cn_51,大步流星的,巴特勒
cn_52,大胆泼辣的,巴顿
cn_53,大胆的,巴萨罗穆
cn_54,大智大勇的,巴德
cn_55,大智若愚的,戈登
cn_56,大摇大摆的,扎克
cn_57,大腹便便的,扎克利
cn_58,子虚乌有的,文森
cn_59,寸草不留的,文森特
cn_60,小小的,比尔
cn_61,小心谨慎的,比利
cn_62,小心翼翼的,比其尔
cn_63,山眉水眼的,比阿特丽斯
cn_64,干净的,牛顿
cn_65,干净的,贝丝
cn_66,干脆利索的,贝尔
cn_67,干脆利落的,贝亚特
cn_68,才华出众的,贝克
cn_69,才华横溢的,贝拉
cn_70,才思敏捷的,贝芙丽
cn_71,才高八斗的,贝洛克
cn_72,门庭若市的,贝基
cn_73,飞扬跋扈的,贝斯
cn_74,飞舞的,贝琪
cn_75,飞檐走壁的,贝琳达
cn_76,马到成功的,贝蒂
cn_77,不为瓦全的,韦尔伯
cn_78,不仁不义的,韦伯斯特
cn_79,不吝指教的,韦纳尔
cn_80,不忘沟壑的,韦勃
cn_81,不学无术的,韦恩
cn_82,不屈不挠的,丘奇
cn_83,不败的,丝柏凌
cn_84,不骄不躁的,丝特拉
cn_85,不耻下问的,丝特芬妮
cn_86,不敢告劳的,丝特勒
cn_87,不欺暗室的,丝塔茜
cn_88,与人为善的,仙蒂
cn_89,专心致志的,以利亚
cn_90,专注的,以赛亚
cn_91,专横跋扈的,以撒
cn_92,丹心的,兰迪
cn_93,为人耿直的,兰斯
cn_94,为非作歹的,兰德尔
cn_95,为富不仁的,冉斯登
cn_96,乌黑黑的,加文
cn_97,互相支持的,加比
cn_98,互相体谅的,加尔
cn_99,五彩的,加布力尔
cn_100,仁至义尽的,加百利
cn_101,仁慈善良的,加西亚
cn_102,从谏如流的,加里
cn_103,从善如流的,加斯克尔
cn_104,公正的,加菲尔德
cn_105,凶凶的,卡门
cn_106,凶相毕露的,卡尔
cn_107,凶恶暴躁的,卡尔文
cn_108,凶神恶煞的,卡米尔
cn_109,凶煞煞的,卡玛
cn_110,办事仔细的,卡拉
cn_111,化险为夷的,卡洛儿
cn_112,友好的,卡洛斯
cn_113,双瞳剪水的,卡洛琳
cn_114,天生丽质的,卡珊多拉
cn_115,天穹的,卡特
cn_116,天苍的,卡特里娜
cn_117,天青的,卡特琳
cn_118,天真无邪的,卡梅伦
cn_119,天真的,卡斯帕
cn_120,天真活泼的,卡萝
cn_121,天真烂漫的,卡瑞达
cn_122,天蓝的,卡瑞娜
cn_123,幻想的,卡蜜拉
cn_124,开心见诚的,卢
cn_125,开诚布公的,卢克
cn_126,开诚相见的,卢修斯
cn_127,开朗大方的,古斯塔夫
cn_128,开朗的,可妮莉雅
cn_129,心口不一的,史丹
cn_130,心口如一的,史丹尼
cn_131,心心相印的,史丹佛
cn_132,心平气和的,史考特
cn_133,心地光明的,史帝文
cn_134,心如刀绞的,史宾杜
cn_135,心如死灰的,史都华德
cn_136,心安神泰的,史蒂夫
cn_137,心灰意冷的,史蒂文
cn_138,心旷神怡的,史黛丝
cn_139,心灵手巧的,圣扎迦利
cn_140,心直口快的,尔文
cn_141,心直口愉的,尔莎
cn_142,心花怒放的,尼古拉斯
cn_143,心急火燎的,尼尔
cn_144,心急如焚的,尼尔森
cn_145,心狠手辣的,尼克
cn_146,心宽体胖的,尼克勒斯
cn_147,心胸开阔的,尼克森
cn_148,心胸宽大的,尼迪亚
cn_149,心惊肉跳的,尼娜
cn_150,心惊胆战的,尼基塔
cn_151,心慈手软的,布兰奇
cn_152,手不释卷的,布兰妮
cn_153,手无力的,布兰特
cn_154,手忙脚乱的,布兰得利
cn_155,手足无措的,布兰琪
cn_156,手足轻深的,布兰登
cn_157,手疾眼快的,布尼尔
cn_158,手脚麻利的,布伦特
cn_159,手舞足蹈的,布列塔尼
cn_160,支配的,布丽姬特
cn_161,文武双全的,布拉得里克
cn_162,文质彬彬的,布兹
cn_163,文静的,布朗
cn_164,斗志昂扬的,布莱安娜
cn_165,无力的,布莱克
cn_166,无中生有的,布莱兹
cn_167,无风起浪的,布莱迪
cn_168,无动于衷的,布莱恩
cn_169,无坚不摧的,布鲁克
cn_170,无忧无虑的,布鲁诺
cn_171,无私的,布鲁斯
cn_172,无言相对的,布鲁斯特
cn_173,无所不通的,布赖恩
cn_174,无拘无束的,布雷尔
cn_175,无法使用的,布蓝达
cn_176,无厘头的,布德
cn_177,无常的,弗兰克
cn_178,无微不至的,弗兰克思
cn_179,无蜂生蜜的,弗农
cn_180,无精打采的,弗里达
cn_181,比肩继踵的,弗林
cn_182,比较而言的，,弗罗伦丝
cn_183,气宇轩昂的,弗罗拉
cn_184,气势汹汹的,弗郎西丝
cn_185,气呼呼的,弗恩
cn_186,气急败坏的,弗格斯
cn_187,气热汹汹的,弗莉达
cn_188,水汪汪的,弗瑞德
cn_189,水蓝的,弗雷得力克
cn_190,火红的,弗雷德里卡
cn_191,火烧火燎的,本
cn_192,火辣辣的,本杰明
cn_193,片翼的,本森
cn_194,见义勇为的,汉米敦
cn_195,见多识广的,汉克
cn_196,认真的,汉妮
cn_197,车水马龙的,汉娜
cn_198,风姿卓越的,汉特
cn_199,风度翩翩的,汉森
cn_200,风流倜傥的,瓦尔克
cn_201,风趣幽默的,瓦尔特
cn_202,东张西望的,瓦伦
cn_203,主动的,瓦妮莎
cn_204,乐观的,瓦勒莉
cn_205,乐善好施的,甘乃迪
cn_206,仔细的,皮尔斯
cn_207,令人捧腹的,皮科尔
cn_208,以诚相见的,皮特
cn_209,仪态万千的,邓巴
cn_210,仪态万端的,邓尼斯
cn_211,充满热情的,邓肯
cn_212,出口成章的,邓洛普
cn_213,出水芙蓉的,邓普斯
cn_214,出言无忌的,乔
cn_215,出类拔萃的,乔丹
cn_216,功成不居的,乔尼
cn_217,包藏祸心的,乔伊
cn_218,匆匆的,乔伊丝
cn_219,半信半疑的,乔伊斯
cn_220,半推半就的,乔休尔
cn_221,古典的,乔安娜
cn_222,古道热肠的,乔纳森
cn_223,另类的,乔治
cn_224,可口的,乔治亚
cn_225,可动的,乔茜
cn_226,可行的，,乔莉埃特
cn_227,可忽视的,乔斯林
cn_228,可怕的,乔蒂
cn_229,可信赖的,亚力士
cn_230,可爱的,亚历山大
cn_231,可爱的,亚历克西斯
cn_232,可笑的,亚历克斯
cn_233,可靠的,亚历桑德拉
cn_234,叶绿的,亚尔弗列得
cn_235,囚首垢面的,亚尔林
cn_236,外向的,亚尔曼
cn_237,失败的,亚尔维斯
cn_238,失落的,亚伦
cn_239,头头是道的,亚当
cn_240,头重脚轻的,亚当斯
cn_241,头破血流的,亚伯
cn_242,宁为玉碎的,亚伯拉罕
cn_243,宁死不屈的,亚伯特
cn_244,对答如流的,亚岱尔
cn_245,左思右想的,亚度尼斯
cn_246,左顾右盼的,亚特伍德
cn_247,巧舌如簧的,亚莉克希亚
cn_248,巧言令色的,亚瑟
cn_249,帅帅的,亚摩斯
cn_250,平心静气的,亚撒
cn_251,平易可亲的,伊凡
cn_252,平易近人的,伊夫力
cn_253,正义之士的,伊夫林
cn_254,正大光明的,伊文捷琳
cn_255,正气凛然的,伊西多
cn_256,正直无私的,伊齐基尔
cn_257,正直的,伊甸
cn_258,正襟危坐的,伊里亚德
cn_259,永不屈服的,伊妮德
cn_260,灭绝人性的,伊芙
cn_261,生气勃勃的,伊芙林
cn_262,生龙活虎的,伊芙琳
cn_263,生死相依的,伊芳
cn_264,生花妙笔的,伊娃
cn_265,用心险恶的,伊迪萨
cn_266,白发苍苍的,伊恩
cn_267,白白的,伊格纳兹
cn_268,白的,伊桑
cn_269,白花花的,伊诺克
cn_270,目不转睛的,伊莉莎白
cn_271,目的明确的,伊莎贝尔
cn_272,目瞪口呆的,伊莎贝拉
cn_273,闪耀的,伊莎蓓尔
cn_274,交浅言深的,伊莱
cn_275,仰不愧天的,伊莱恩
cn_276,任性的,伊莲恩
cn_277,众志成城的,伊温妮
cn_278,优哉游哉的,伊蒂丝
cn_279,优柔寡断的,伊薇特
cn_280,优游自若的,伍德洛
cn_281,优雅的,休伯特
cn_282,传说的,优拉
cn_283,伤天害理的,优娜
cn_284,先人后己的,伦纳德
cn_285,先发制人的,伦恩
cn_286,先斩后奏的,关德琳
cn_287,光明正大的,列夫
cn_288,光明磊落的,列得
cn_289,光辉的,刘易斯
cn_290,全面的,华纳
cn_291,全神贯注的,华莉丝
cn_292,关怀备至的,华德
cn_293,兴高采烈的,吉米
cn_294,冰肌玉骨的,吉艾斯
cn_295,冰冷的,吉伯特
cn_296,冰清玉洁的,吉姆
cn_297,冰雪聪明的,吉罗德
cn_298,冲动的,吉娜
cn_299,决定性的,吉恩
cn_300,刚正不阿的,吉莉安
cn_301,刚直不阿的,吉蒂
cn_302,刚强不屈的,多拉
cn_303,刚强的,多明尼卡
cn_304,华丽的,多明尼克
cn_305,合格的,多洛莉丝
cn_306,向壁虚构的,多莉丝
cn_307,向壁虚造的,多琳
cn_308,回头是岸的,多萝西娅
cn_309,团团转的,好尔德
cn_310,壮士解腕的,安
cn_311,多才多艺的,安东尼
cn_312,多才的,安东尼奥
cn_313,多多行善的,安东妮儿
cn_314,多虑的,安尼塔
cn_315,多谋善断的,安吉拉
cn_316,多管闲事的,安吉莉亚
cn_317,夸夸其谈的,安吉莉娜
cn_318,好心的,安西尔
cn_319,好声好气的,安伯
cn_320,好沉思的,安其罗
cn_321,好言好语的,安妮
cn_322,好学上进的,安迪
cn_323,好的,安娜
cn_324,好客的,安娜贝儿
cn_325,如花似月的,安娜塔西雅
cn_326,如花似玉的,安格斯
cn_327,如临深渊的,安得烈
cn_328,如狼似虎的,安琪
cn_329,如履薄冰的,安琪拉
cn_330,下雨有伞的,安德莉亚
cn_331,守纪律的,安德森
cn_332,守信用的,安德鲁
cn_333,守信的,托比
cn_334,守株待兔的,托尼
cn_335,安心安意的,朱丽叶
cn_336,安心若素的,朱丽亚
cn_337,安静悲观的,朱利尔斯
cn_338,尽职的,朱利安
cn_339,年轻的,朱恩
cn_340,当机立断的,朱莉
cn_341,成竹在胸的,朱莉安娜
cn_342,执法如山的,朱蒂
cn_343,执著的,朱蒂斯
cn_344,有人缘的,朵拉
cn_345,有口无心的,毕夏普
cn_346,干净习惯的,毕维斯
cn_347,有才干的,汤尼
cn_348,有才能的,汤米
cn_349,有方法的,汤玛士
cn_350,有见识的,汤玛斯
cn_351,有主见的,汤姆
cn_352,有仪态的,百丽儿
cn_353,有发明才能的,米兰达
cn_354,有冲劲的,米里亚姆
cn_355,有创造力的,米奇
cn_356,有合作精神的,米契尔
cn_357,有礼貌的,米娅
cn_358,有色的,米莉
cn_359,有志气的,米路
cn_360,有求必应的,约书亚
cn_361,有系统的,约克
cn_362,有奉献精神的,约瑟夫
cn_363,有始有终的,约瑟芬
cn_364,有抱负的,约翰
cn_365,身体健康的,纪伯伦
cn_366,有进取心的,考尔比
cn_367,有信心的,考伯特
cn_368,有冒险精神的,耳舒拉
cn_369,有拼搏精神的,艾凡
cn_370,有独创性的,艾文
cn_371,有耐力的,艾比
cn_372,有效率的,艾丝特
cn_373,有效率的,艾丝翠得
cn_374,有能力的,艾尔弗雷德
cn_375,有教养的,艾尔玛
cn_376,有理性的,艾布特
cn_377,有理解力的,艾伦
cn_378,有智力的,艾米
cn_379,有策略的,艾米丽
cn_380,有雄心壮志的,艾米瑞达
cn_381,有献身精神的,艾西
cn_382,有趣的,艾丽丝
cn_383,朱红的,艾丽卡
cn_384,朴素的,艾丽西娅
cn_385,机关的,艾丽莎
cn_386,机灵的,艾伯纳
cn_387,机密的,艾伯特
cn_388,机敏的,艾利克
cn_389,机智灵巧的,艾玛
cn_390,机智果断的,艾达
cn_391,机智的,艾拉
cn_392,杀人如麻的,艾咪
cn_393,杀鸡问客的,艾娃
cn_394,杀戮的,艾美
cn_395,欢天喜地的,艾娜
cn_396,欢呼雀跃的,艾勒
cn_397,死心塌地的,艾曼纽
cn_398,死而后已的,艾曼达
cn_399,汗流浃背的,艾理斯
cn_400,灰蒙蒙的,艾略特
cn_401,百折不回的,艾维
cn_402,百折不挠的,艾维斯
cn_403,百依百顺的,艾莉
cn_404,纡尊降贵的,艾莉尔
cn_405,红红的,艾莉莎
cn_406,红色的,艾富里
cn_407,红的,艾琳
cn_408,红莲的,艾琳娜
cn_409,红通通的,艾琳诺
cn_410,红铜的,艾登
cn_411,纪念的,艾塞亚
cn_412,老生常谈的,艾瑟儿
cn_413,老奸巨滑的,艾萨克
cn_414,老实的,艾蜜莉
cn_415,老练的,艾谱莉
cn_416,耳听八方的,艾德
cn_417,耳闻目睹的,艾德文
cn_418,自由自在的,艾德文娜
cn_419,自知之明的,艾德里安
cn_420,自信的,艾德琳
cn_421,自觉的,艾德蒙
cn_422,自轻自贱的,艾薇
cn_423,自得其乐的,艾薇拉
cn_424,自然的,西格莉德
cn_425,自暴自弃的,西维亚
cn_426,血污的,西瑞尔
cn_427,血红的,西蒙
cn_428,血性男儿的,西德尼
cn_429,血淋淋的,齐默尔曼
cn_430,衣冠楚楚的,丽贝卡
cn_431,衣衫褴褛的,丽诺比丽
cn_432,西装革履的,丽莎
cn_433,讲义气的,丽莲
cn_434,讲道理的,丽塔
cn_435,负责的,丽蓓卡
cn_436,闭月羞花的,丽蓓嘉
cn_437,两袖清风的,亨克
cn_438,严于律己的,亨利
cn_439,严于律已的,伯尼
cn_440,严守时刻的,伯克利
cn_441,严格的,伯纳
cn_442,严谨的,伯里斯
cn_443,伶牙俐齿的,伯特
cn_444,低声下气的,伯特莱姆
cn_445,低声细语的,伯顿
cn_446,体贴入微的,伯骑士
cn_447,体贴的,佐伊
cn_448,佛口圣心的,何蒙莎
cn_449,佛口婆心的,佛兰克林
cn_450,作恶多端的,佛能
cn_451,克己奉公的,克利夫兰
cn_452,冷淡的,克利斯蒂
cn_453,冷眼静看的,克利斯蒂安
cn_454,冷漠的,克劳迪娅
cn_455,冷静的,克劳瑞丝
cn_456,冷飕飕的,克劳德
cn_457,别有用心的,克里斯
cn_458,别有所指的,克里斯汀
cn_459,助人为乐的,克里斯多夫
cn_460,努力的,克拉尔
cn_461,劫富济贫的,克拉伦斯
cn_462,医术高明的,克拉克
cn_463,含羞的,克洛伊
cn_464,含糊其辞的,克洛怡
cn_465,听之任之的,克莉丝
cn_466,听天由命的,克莉丝汀
cn_467,呆头呆脑的,克莉丝蒂娜
cn_468,呆若木鸡的,克莉斯多
cn_469,困难的,克莱儿
cn_470,困惑的,克莱门特
cn_471,坏的,克莱夫
cn_472,坐立不安的,克莱拉
cn_473,坚不可摧的,克莱得
cn_474,坚如磐石的,克莱斯特
cn_475,坚贞不屈的,克雷尔
cn_476,坚贞不渝的,克雷孟特
cn_477,坚忍不拔的,利利
cn_478,坚固的,利奥
cn_479,坚定不移的,利奥波特
cn_480,坚持不渝的,利奥波德
cn_481,坚持不懈的,劳伦
cn_482,坚强果断的,劳伦特
cn_483,坚强的,劳伦斯
cn_484,妙语连珠的,劳里
cn_485,妙笔生花的,劳瑞
cn_486,妙趣横生的,劳瑞恩
cn_487,孜孜不倦的,坎贝尔
cn_488,孝顺的,坎蒂
cn_489,局促不安的,坎蒂丝
cn_490,应机立断的,希巴斯汀
cn_491,弃旧图新的,希贝儿
cn_492,弃短取长的,希尔
cn_493,弄虚作假的,希尔达
cn_494,张口结舌的,希尔保特
cn_495,张牙舞爪的,希尔顿
cn_496,形容词大全,希伯来
cn_497,形容词后缀,希拉
cn_498,形影不离的,希拉里
cn_499,忍辱负重的,希拉莉
cn_500,忐忑不安的,希拉瑞莉
cn_501,志同道合的,希欧多尔
cn_502,忧伤的,库克
cn_503,快人快事的,怀特黑德
cn_504,快人快语的,李
cn_505,快乐的,李维
cn_506,快的,李奥娜
cn_507,快嘴快舌的,杜克
cn_508,戒骄戒躁的,杜达
cn_509,扶老携幼的,杜鲁
cn_510,抑强扶弱的,杜鲁门
cn_511,改恶从善的,沃伦
cn_512,更坏的,沃克
cn_513,李代桃僵的,沙琳
cn_514,杞人忧天的,狄龙
cn_515,束缚的,狄伦
cn_516,条理分明的,狄克
cn_517,极目了望的,玛可欣
cn_518,极彩的,玛乔丽
cn_519,步履轻盈的,玛米
cn_520,步履矫健的,玛西亚
cn_521,汹汹的,玛丽
cn_522,沉沉的,玛丽亚
cn_523,沉鱼落雁的,玛丽安
cn_524,沉默的,玛丽莲
cn_525,没精打采的,玛克辛
cn_526,灵巧的,玛希
cn_527,灾难的,玛佩尔
cn_528,男性的,玛拉
cn_529,男的,玛律斯
cn_530,秀外慧中的,玛姬
cn_531,秀色可餐的,玛格丽特
cn_532,穷凶极恶的,玛莎
cn_533,系风捕影的,玛琪
cn_534,纯洁的,玛蒂尔达
cn_535,纳谏如流的,玛蒂娜
cn_536,肝胆相照的,玛德琳
cn_537,肠肥脑满的,纳旦尼尔
cn_538,言而有信的,纳特
cn_539,言行一致的,纽曼
cn_540,言行不一的,肖恩
cn_541,言行相诡的,辛普森
cn_542,天黑有灯的,辛蒂
cn_543,词不达意的,达尔文
cn_544,赤子之心的,达尔西
cn_545,赤子的,达尼尔
cn_546,赤红的,达伦
cn_547,赤练的,达芙妮
cn_548,赤胆忠心的,达茜
cn_549,赤莲的,达勒
cn_550,赤铜的,达莲娜
cn_551,足智多谋的,迈克尔
cn_552,辛勤的,邦妮
cn_553,邪气的,里安德尔
cn_554,闲情逸致的,里奇
cn_555,闷闷的,里根
cn_556,阳奉阴违的,里斯特
cn_557,阴沈沈的,麦尔肯
cn_558,阴沉的,麦尔斯
cn_559,阴险的,麦伦
cn_560,阴险毒辣的,麦克
cn_561,鸠形鹄面的,麦克弗森
cn_562,鸡毛蒜皮的,麦克阿瑟
cn_563,与友分酒的,麦金托什
cn_564,粥温茶暖的,麦格
cn_565,乖乖的,麦基
cn_566,侃侃而谈的,麦斯威尔
cn_567,刻舟求剑的,享利
cn_568,刻苦的,佩儿
cn_569,刻骨铭心的,佩兴斯
cn_570,笑语晏晏的,佩恩
cn_571,受刑的,佩格
cn_572,受过良好教育的,依夫
cn_573,变态的,依耶芙特
cn_574,呱呱叫的,依耶塔
cn_575,和风细雨的,凯文
cn_576,和和气气的,凯丝
cn_577,和衷共济的,凯尔
cn_578,和蔼可亲的,凯尔文
cn_579,和颜悦色的,凯尔西
cn_580,国色天香的,凯伊
cn_581,垂头丧气的,凯伦
cn_582,夜以继日的,凯西
cn_583,奉公守法的,凯丽
cn_584,奋不顾身的,凯利
cn_585,奔相走告的,凯希
cn_586,始终不渝的,凯里
cn_587,始终不解的,凯拉
cn_588,始终如一的,凯罗尔
cn_589,季节的,凯特
cn_590,孤注一掷的,凯茜
cn_591,孤高的,凯莉
cn_592,学贯中西的,凯莉盖
cn_593,学富五车的,凯斯
cn_594,定睛一看的,凯琳
cn_595,宝石红,凯瑟琳
cn_596,宝石绿的,凯萨琳
cn_597,宝石蓝的,凯撒
cn_598,实在的,卓拉
cn_599,实事求是的,坦普尔
cn_600,实际的,奈宝尼尔
cn_601,居心不良的,奈哲尔
cn_602,岿然不动的,奈登
cn_603,幸运的,妮可
cn_604,废寝忘食的,妮可拉
cn_605,弥天大谎的,妮娜
cn_606,径情而行的,妮蒂亚
cn_607,忠于职守的,宝儿
cn_608,忠心耿耿的,尚恩
cn_609,忠贞不渝的,帕姬
cn_610,忠诚的,彼得
cn_611,忠厚老实的,彼得斯
cn_612,忠厚的,所罗门
cn_613,忠厚善良的,拉里
cn_614,忿忿的,拉金
cn_615,性格爽直的,拉格伦
cn_616,性格豪爽的,拉斐尔
cn_617,性烈如火的,拉菲尔
cn_618,性情温和的,拉德
cn_619,怪力的,旺达
cn_620,怪怪的,旺妲
cn_621,披肝沥胆的,昆
cn_622,披露腹心的,昆西
cn_623,抽薪止沸的,昆廷
cn_624,拘拘束束的,昆娜
cn_625,拘谨不安的,昆特
cn_626,拘谨软弱的,昆顿
cn_627,招摇撞骗的,昆蒂娜
cn_628,斩钉截铁的,易莱哲
cn_629,斩草除根的,杰
cn_630,昂首挺胸的,杰夫
cn_631,明白事理的,杰弗瑞
cn_632,明目张胆的,杰伊
cn_633,明目皓齿的,杰西
cn_634,明眸皓齿的,杰西嘉
cn_635,昏昏的,杰佛理
cn_636,服务周全的,杰佛瑞
cn_637,欣喜若狂的,杰克
cn_638,武艺高强的,杰克逊
cn_639,油油的,杰罗姆
cn_640,泛泛而谈的,杰勒米
cn_641,泠泠的,杰理
cn_642,泥土似的,杰森
cn_643,泥黄的,杰瑞
cn_644,炉火纯青的,杰瑞德
cn_645,画蛇添足的,林
cn_646,畅所欲言的,林恩
cn_647,直抒己见的,林顿
cn_648,直抒已见的,欧内斯特
cn_649,直抒胸臆的,欧文
cn_650,直来直去的,欧尔佳
cn_651,直言不讳的,欧尼斯特
cn_652,直言相告的,欧恩
cn_653,直捣黄龙的,欧格登
cn_654,直情径行的,欧蕊
cn_655,直捷了当的,法兰西斯
cn_656,直爽的,法兰克
cn_657,直率的,法兰克林
cn_658,直率的，,波文
cn_659,直截了当的,波比
cn_660,知足常乐的,波特
